h,[1]
he,[2]
li,[3]
be,[4]
b,[5]
c,[6]
n,[7]
o,[8]
f,[9]
ne,[10]
mg,[12]
al,[13]
si,[14]
p,[15]
si,[16]
ten,[52, 7]
teal,[52, 13]
tear,[52, 18]
teas,[52, 33]
tend,[52, 60]
teat,[52, 85]
tern,[52, 86]
teth,[52, 90]
team,[52, 95]
tees,[52, 99]
teds,[52, 110]
ib,[53, 5]
in,[53, 7]
if,[53, 9]
iv,[53, 23]
ii,[53, 53]
ice,[53, 58]
ind,[53, 60]
ism,[53, 62]
ire,[53, 75]
ids,[53, 110]
its,[53, 117]
csc,[55, 6]
bah,[56, 1]
babe,[56, 4]
ban,[56, 7]
bane,[56, 10]
bap,[56, 15]
bani,[56, 28]
baas,[56, 33]
base,[56, 34]
barb,[56, 37]
bay,[56, 39]
bate,[56, 52]
baba,[56, 56]
band,[56, 60]
bare,[56, 75]
barn,[56, 86]
bath,[56, 90]
barf,[56, 104]
bats,[56, 117]
lab,[57, 5]
lac,[57, 6]
lane,[57, 10]
lap,[57, 15]
lati,[57, 22]
lav,[57, 23]
lase,[57, 34]
lay,[57, 39]
lain,[57, 49]
late,[57, 52]
lace,[57, 58]
land,[57, 60]
lady,[57, 66]
law,[57, 74]
lair,[57, 77]
lath,[57, 90]
lads,[57, 110]
lats,[57, 117]
cen,[58, 7]
ceca,[58, 20]
pro,[59, 8]
pry,[59, 39]
pros,[59, 76]
prau,[59, 79]
prat,[59, 85]
pram,[59, 95]
pres,[59, 99]
prog,[59, 118]
smog,[62, 118]
dyne,[66, 10]
dyer,[66, 68]
dyes,[66, 99]
hob,[67, 5]
hon,[67, 7]
hoo,[67, 8]
hone,[67, 10]
hop,[67, 15]
hoar,[67, 18]
hose,[67, 34]
hoy,[67, 39]
homo,[67, 42]
hoer,[67, 68]
how,[67, 74]
horn,[67, 86]
hora,[67, 88]
hoes,[67, 99]
hods,[67, 110]
hots,[67, 117]
erne,[68, 10]
erk,[68, 19]
eras,[68, 33]
lube,[71, 4]
lune,[71, 10]
luge,[71, 32]
lute,[71, 52]
luxe,[71, 54]
luce,[71, 58]
lulu,[71, 71]
lure,[71, 75]
luau,[71, 79]
lues,[71, 99]
tali,[73, 3]
tab,[73, 5]
tan,[73, 7]
tana,[73, 11]
tap,[73, 15]
taco,[73, 27]
tain,[73, 49]
tala,[73, 57]
tace,[73, 58]
taw,[73, 74]
tare,[73, 75]
tarn,[73, 86]
tau,[73, 92]
tads,[73, 110]
tanh,[73, 113]
tats,[73, 117]
wo,[74, 8]
war,[74, 18]
wk,[74, 19]
was,[74, 33]
wag,[74, 47]
win,[74, 49]
wpm,[74, 61]
who,[74, 67]
whf,[74, 72]
wat,[74, 85]
wog,[74, 118]
rec,[75, 6]
ref,[75, 9]
real,[75, 13]
rep,[75, 15]
rear,[75, 18]
rev,[75, 23]
recd,[75, 48]
rein,[75, 49]
rete,[75, 52]
rend,[75, 60]
rept,[75, 78]
ream,[75, 95]
reds,[75, 110]
refl,[75, 114]
rets,[75, 117]
oses,[76, 99]
irk,[77, 19]
auk,[79, 19]
aura,[79, 88]
auth,[79, 90]
bib,[83, 5]
bin,[83, 7]
bio,[83, 8]
bine,[83, 10]
bias,[83, 33]
bise,[83, 34]
bite,[83, 52]
bice,[83, 58]
bind,[83, 60]
bier,[83, 68]
bios,[83, 76]
bids,[83, 110]
bits,[83, 117]
biog,[83, 118]
poo,[84, 8]
pone,[84, 10]
pop,[84, 15]
poco,[84, 27]
pose,[84, 34]
poi,[84, 53]
pond,[84, 60]
pow,[84, 74]
pore,[84, 75]
poos,[84, 76]
porn,[84, 86]
pods,[84, 110]
pots,[84, 117]
fro,[87, 8]
fry,[87, 39]
frag,[87, 47]
frat,[87, 85]
frog,[87, 118]
rah,[88, 1]
ran,[88, 7]
rap,[88, 15]
rani,[88, 28]
raga,[88, 31]
rage,[88, 32]
ray,[88, 39]
rain,[88, 49]
rate,[88, 52]
race,[88, 58]
rand,[88, 60]
rata,[88, 73]
raw,[88, 74]
rare,[88, 75]
rapt,[88, 78]
rath,[88, 90]
rads,[88, 110]
rats,[88, 117]
ache,[89, 2]
acc,[89, 6]
acne,[89, 10]
acre,[89, 75]
acpt,[89, 78]
aces,[89, 99]
acts,[89, 117]
tho,[90, 8]
thar,[90, 18]
thy,[90, 39]
thru,[90, 44]
thin,[90, 49]
that,[90, 85]
pah,[91, 1]
pan,[91, 7]
pane,[91, 10]
pap,[91, 15]
page,[91, 32]
pase,[91, 34]
pay,[91, 39]
pain,[91, 49]
pate,[91, 52]
pace,[91, 58]
paw,[91, 74]
pare,[91, 75]
pair,[91, 77]
para,[91, 88]
path,[91, 90]
papa,[91, 91]
pads,[91, 110]
pats,[91, 117]
uh,[92, 1]
up,[92, 15]
uni,[92, 28]
use,[92, 34]
uhf,[92, 72]
urn,[92, 86]
uts,[92, 117]
puli,[94, 3]
pub,[94, 5]
pun,[94, 7]
pup,[94, 15]
puca,[94, 20]
pula,[94, 57]
puce,[94, 58]
pure,[94, 75]
pupa,[94, 91]
puds,[94, 110]
puts,[94, 117]
amp,[95, 15]
ammo,[95, 42]
ami,[95, 53]
amir,[95, 77]
amu,[95, 92]
esp,[99, 15]
esse,[99, 34]
mdse,[101, 34]
nob,[102, 5]
non,[102, 7]
none,[102, 10]
nose,[102, 34]
note,[102, 52]
now,[102, 74]
noes,[102, 99]
nods,[102, 110]
mtge,[109, 32]
fly,[114, 39]
flag,[114, 47]
flat,[114, 85]
flu,[114, 92]
flam,[114, 95]
flog,[114, 118]
lvi,[116, 53]
tsp,[117, 15]
tsar,[117, 18]
ogre,[118, 75]
